Value/K,Name,IsCustomer,IsVendor,C_BP_Group_ID[Value],Description
C101020,AGORA EX CORPORATION,Y,N,Standard,JPN
C101051,IMOCOM S.A.S.,Y,N,Standard,COL
C101086,JCR CONSTRUTORA E INCORPORADORA LTDA,Y,N,Standard,BRA
C101138,TRÊS RAÍZES COMÉRCIO E PARTICIPAÇÕES LTDA,Y,N,Standard,BRA
C101169,SVC PROJECTS PRIVATE LIMITED,Y,N,Standard,IND
C101178,ISP CONSTRUCTION SA,Y,N,Standard,CHE
C101186,ATLAS COPCO MINING AND CONSTRUCTION USA LLC,Y,N,Standard,USA
C101264,ITALIAN DRILLING CONSULTANTS LTD,Y,N,Standard,GBR
C101275,GEOINVEST D.O.O,Y,N,Standard,BIH
C101307,BPIFRANCE FINANCEMENT,Y,N,Standard,FRA
C101334,CASAGRANDE (INDIA) PILING & GEOTECHNICAL EQUIPMENT,Y,N,Standard,IND
C101346,TERNA S.A.,Y,N,Standard,GRC
C101361,OY NOVA SERVICE AB,Y,N,Standard,FIN
C101374,ADVANCED FOUNDATION CONSTRUCTION SYSTEMS CORP.,Y,N,Standard,PHL
C101378,NADA H.H. AL MALKI TRADING EST,Y,N,Standard,SAU
C101422,AMERICA SUR INTERNACIONAL S.A.C.,Y,N,Standard,PER
C101446,CASAGRANDE (FAR EAST) PTE. LTD.,Y,N,Standard,SGP
C101452,SPECFUND SPOLKA Z.O.O.,Y,N,Standard,POL
C101462,GEOFOR CONSTRUCTIONS S.A.,Y,N,Standard,LUX
C101463,MGM CONSTRUCTION SAL,Y,N,Standard,LBN
C101477,EURO REPRESENTACIONES S.A DE C.V,Y,N,Standard,MEX
C101503,GEO DANYA LTD,Y,N,Standard,ISR
C101517,S.C. DACIA FABER S.R.L.,Y,N,Standard,ROM
C101522,"CIMERTEX  ÁFRICA,  LDA.",Y,N,Standard,PRT
C101523,GEYSER S.A.,Y,N,Standard,TCD
C101534,J.M. PILING COMPANY LTD,Y,N,Standard,GBR
C101539,KARYER DIS TICARET LTD. STI,Y,N,Standard,TUR
C101042,HAYKAL PILING NIGERIA LIMITED.,Y,N,Standard,NGA
