AD_Org_ID[Name],C_AcctSchema_ID[Name],Description,PostingType,C_DocType_ID[Name],GL_Category_ID[Name],DateDoc,DateAcct,C_Period_ID[Name],C_Currency_ID,C_ConversionType_ID[Value],GL_JournalLine>AD_Org_ID[Name],GL_JournalLine>C_Currency_ID,GL_JournalLine>DateAcct,GL_JournalLine>C_ConversionType_ID[Value],GL_JournalLine>Account_ID[Value],GL_JournalLine>Description,GL_JournalLine>AmtSourceDr,GL_JournalLine>AmtSourceCr
Magagnin,Magagnin UN/35 Euro,Situazione Patrimoniale 2017,A,GL Journal,Standard,2017-12-31,2017-12-31,Dec-17,102,S,Magagnin,102,2017-12-31,S,1.2.01.01.01,,"5706,2",
,,,,,,,,,,,Magagnin,102,2017-12-31,S,1.2.01.04.01,,159,
,,,,,,,,,,,,,,,1.2.02.07.01,,"4347,6",
,,,,,,,,,,,,,,,1.2.02.02.01,,500,
,,,,,,,,,,,,,,,1.2.02.02.02,,"37667,9",
,,,,,,,,,,,,,,,1.2.02.03.01,,"28064,1",
,,,,,,,,,,,,,,,1.2.02.03.02,,"16789,4",
,,,,,,,,,,,,,,,1.2.02.04.01,,"2527,6",
,,,,,,,,,,,,,,,1.2.02.04.02,,"58733,2",
,,,,,,,,,,,,,,,1.2.02.04.03,,"2196,7",
,,,,,,,,,,,,,,,1.3.01.01.01,,11118,
,,,,,,,,,,,,,,,1.3.01.03.01,,"285143,5",
,,,,,,,,,,,,,,,1.3.01.04.01,,"59456,9",
,,,,,,,,,,,,,,,1.3.02.01.01.a,,"138688,4",
,,,,,,,,,,,,,,,1.3.02.01.01.b,,67164,
,,,,,,,,,,,,,,,1.3.02.08.04,,"50492,6",
,,,,,,,,,,,,,,,1.3.02.07.02,,17407,
,,,,,,,,,,,,,,,1.3.02.08.05,,10540,
,,,,,,,,,,,,,,,1.3.04.01.02,,"33,9",
,,,,,,,,,,,,,,,1.3.04.03.01,,"423,4",
,,,,,,,,,,,,,,,1.4.02.00.01,,"3176,1",
,,,,,,,,,,,,,,,2.1.09.00.03,,"1142,9",
,,,,,,,,,,,,,,,2.4.13.01.01,,"1285,8",
,,,,,,,,,,,,,,,2.4.14.02.01,,"2133,3",
,,,,,,,,,,,,,,,2.4.14.02.02,,"5838,5",
,,,,,,,,,,,,,,,1.2.01.01.02,,,"5706,2"
,,,,,,,,,,,,,,,1.2.01.04.02,,,159
,,,,,,,,,,,,,,,1.2.02.07.02,,,"579,1"
,,,,,,,,,,,,,,,1.2.02.02.03,,,500
,,,,,,,,,,,,,,,1.2.02.02.04,,,"15669,1"
,,,,,,,,,,,,,,,1.2.02.03.03,,,"25991,9"
,,,,,,,,,,,,,,,1.2.02.03.04,,,"16789,4"
,,,,,,,,,,,,,,,1.2.02.04.04,,,2100
,,,,,,,,,,,,,,,1.2.02.04.05,,,"51308,3"
,,,,,,,,,,,,,,,1.2.02.04.06,,,"191,8"
,,,,,,,,,,,,,,,1.3.04.01.03,,,"14904,1"
,,,,,,,,,,,,,,,1.3.04.01.01,,,"65905,3"
,,,,,,,,,,,,,,,1.3.04.01.04,,,"10086,6"
,,,,,,,,,,,,,,,1.3.04.01.05,,,"74,9"
,,,,,,,,,,,,,,,1.3.04.01.06,,,"11021,8"
,,,,,,,,,,,,,,,2.1.01.00.01,,,50000
,,,,,,,,,,,,,,,2.1.04.00.01,,,10000
,,,,,,,,,,,,,,,2.1.06.00.07,,,"40444,3"
,,,,,,,,,,,,,,,2.2.02.00.01,,,4426
,,,,,,,,,,,,,,,2.3.01.00.01,,,"23103,7"
,,,,,,,,,,,,,,,2.4.04.02.01,,,"397,6"
,,,,,,,,,,,,,,,2.4.04.02.02,,,"79560,6"
,,,,,,,,,,,,,,,2.4.04.02.03,,,"86284,1"
,,,,,,,,,,,,,,,2.4.07.01.01,,,69178
,,,,,,,,,,,,,,,2.4.07.01.03,,,"8949,6"
,,,,,,,,,,,,,,,2.4.13.01.09,,,"156,8"
,,,,,,,,,,,,,,,2.4.13.01.11,,,"79641,9"
,,,,,,,,,,,,,,,2.4.13.01.02,,,"44735,2"
,,,,,,,,,,,,,,,2.4.13.01.03,,,"1842,6"
,,,,,,,,,,,,,,,2.4.13.01.06,,,"3043,2"
,,,,,,,,,,,,,,,2.4.13.01.04,,,"4104,9"
,,,,,,,,,,,,,,,2.4.13.01.05,,,2361
,,,,,,,,,,,,,,,2.4.14.02.03,,,3067
,,,,,,,,,,,,,,,2.4.15.01.01,,,"15278,7"
,,,,,,,,,,,,,,,2.4.15.01.02,,,"4892,7"
,,,,,,,,,,,,,,,2.4.15.01.04,,,2746
,,,,,,,,,,,,,,,2.4.13.02.01,,,"27717,8"
,,,,,,,,,,,,,,,2.4.15.01.03,,,"2031,8"
,,,,,,,,,,,,,,,2.5.01.00.01,,,"17524,3"
,,,,,,,,,,,,,,,3.1.03.00.01,,"285143,5",
,,,,,,,,,,,,,,,3.1.02.00.03,,"127323,9",
,,,,,,,,,,,,,,,3.2.01.00.01,,"112510,9",
,,,,,,,,,,,,,,,3.2.01.00.08,,"1121,5",
,,,,,,,,,,,,,,,3.2.01.00.07,,"11365,1",
,,,,,,,,,,,,,,,3.2.01.00.09,,"190,2",
,,,,,,,,,,,,,,,3.2.01.00.11,,36,
,,,,,,,,,,,,,,,3.2.02.00.22,,250,
,,,,,,,,,,,,,,,3.2.02.00.23,,"37223,1",
,,,,,,,,,,,,,,,3.2.02.00.05,,"911,5",
,,,,,,,,,,,,,,,3.2.02.00.06,,"14,6",
,,,,,,,,,,,,,,,3.2.02.00.07,,3545,
,,,,,,,,,,,,,,,3.2.02.00.01,,"285,5",
,,,,,,,,,,,,,,,3.2.02.00.08,,"3492,6",
,,,,,,,,,,,,,,,3.2.02.00.09,,"4134,5",
,,,,,,,,,,,,,,,3.2.02.00.10,,"3887,7",
,,,,,,,,,,,,,,,3.2.02.00.03,,"1729,1",
,,,,,,,,,,,,,,,3.2.02.00.17,,"488,1",
,,,,,,,,,,,,,,,3.2.02.00.18,,"2198,8",
,,,,,,,,,,,,,,,3.2.02.00.16,,"44,7",
,,,,,,,,,,,,,,,3.2.02.00.02,,"4941,8",
,,,,,,,,,,,,,,,3.2.02.00.04,,"820,8",
,,,,,,,,,,,,,,,3.2.02.00.11,,"2732,9",
,,,,,,,,,,,,,,,3.2.02.00.20,,"455,8",
,,,,,,,,,,,,,,,3.2.02.00.12,,"5741,5",
,,,,,,,,,,,,,,,3.2.02.00.13,,"5808,7",
,,,,,,,,,,,,,,,3.2.02.00.15,,"535,5",
,,,,,,,,,,,,,,,3.2.02.00.19,,1099,
,,,,,,,,,,,,,,,3.2.02.00.21,,34,
,,,,,,,,,,,,,,,3.2.03.00.01,,38748,
,,,,,,,,,,,,,,,3.2.03.00.02,,"5776,9",
,,,,,,,,,,,,,,,3.2.04.01.01,,"67537,4",
,,,,,,,,,,,,,,,3.2.04.02.01,,22787,
,,,,,,,,,,,,,,,3.2.04.02.02,,"6649,1",
,,,,,,,,,,,,,,,3.2.04.02.03,,"4764,5",
,,,,,,,,,,,,,,,3.2.04.03.01,,"5244,8",
,,,,,,,,,,,,,,,3.2.05.01.01,,193,
,,,,,,,,,,,,,,,3.2.05.02.02,,"5854,2",
,,,,,,,,,,,,,,,3.2.05.02.03,,"3240,7",
,,,,,,,,,,,,,,,3.2.05.02.04,,"638,2",
,,,,,,,,,,,,,,,3.2.05.02.05,,"238,2",
,,,,,,,,,,,,,,,3.2.05.02.06,,"32,2",
,,,,,,,,,,,,,,,3.2.05.02.07,,2666,
,,,,,,,,,,,,,,,3.2.05.02.08,,"161,8",
,,,,,,,,,,,,,,,3.1.02.00.01,,"18255,5",
,,,,,,,,,,,,,,,3.2.09.00.01,,"476,9",
,,,,,,,,,,,,,,,3.2.09.00.02,,986,
,,,,,,,,,,,,,,,3.2.09.00.03,,380,
,,,,,,,,,,,,,,,3.2.09.00.05,,720,
,,,,,,,,,,,,,,,3.2.09.00.10,,"309,9",
,,,,,,,,,,,,,,,3.2.09.00.06,,944,
,,,,,,,,,,,,,,,3.2.09.00.07,,"229,9",
,,,,,,,,,,,,,,,3.2.09.00.09,,"729,4",
,,,,,,,,,,,,,,,3.2.09.00.22,,6500,
,,,,,,,,,,,,,,,3.2.09.00.23,,1856,
,,,,,,,,,,,,,,,3.2.09.00.12,,"4383,2",
,,,,,,,,,,,,,,,3.2.09.00.24,,"11798,1",
,,,,,,,,,,,,,,,3.2.09.00.13,,"198,8",
,,,,,,,,,,,,,,,3.2.09.00.25,,70,
,,,,,,,,,,,,,,,3.2.09.00.26,,"6881,1",
,,,,,,,,,,,,,,,3.2.09.00.27,,"1044,8",
,,,,,,,,,,,,,,,3.3.03.05.01,,"9544,2",
,,,,,,,,,,,,,,,3.3.03.05.02,,"7028,7",
,,,,,,,,,,,,,,,3.3.03.05.03,,"8,3",
,,,,,,,,,,,,,,,3.3.03.05.04,,"30,8",
,,,,,,,,,,,,,,,3.3.03.05.05,,"44,5",
,,,,,,,,,,,,,,,3.3.03.05.06,,"1024,2",
,,,,,,,,,,,,,,,3.3.03.05.09,,"131,3",
,,,,,,,,,,,,,,,3.3.03.05.07,,"1633,3",
,,,,,,,,,,,,,,,3.3.03.05.08,,"3678,6",
,,,,,,,,,,,,,,,3.3.03.05.10,,500,
,,,,,,,,,,,,,,,3.5.01.00.01,,1564,
,,,,,,,,,,,,,,,3.5.01.00.02,,6698,
,,,,,,,,,,,,,,,3.5.03.00.01,,416,
,,,,,,,,,,,,,,,3.1.01.00.01,,,27500
,,,,,,,,,,,,,,,3.1.01.00.02,,,"479227,3"
,,,,,,,,,,,,,,,3.1.03.00.02,,,"285143,5"
,,,,,,,,,,,,,,,3.1.02.00.04,,,"59456,9"
,,,,,,,,,,,,,,,3.1.05.02.01,,,138
,,,,,,,,,,,,,,,3.1.05.02.04,,,"8,1"
,,,,,,,,,,,,,,,3.1.05.02.02,,,7469
,,,,,,,,,,,,,,,3.1.05.02.03,,,"6328,3"
,,,,,,,,,,,,,,,3.1.02.00.02,,,11118
,,,,,,,,,,,,,,,3.3.02.04.06,,,"0,1"
,,,,,,,,,,,,,,,3.3.02.04.07,,,"0,9"
,,,,,,,,,,,,,,,3.3.02.04.08,,,"404,2"
,,,,,,,,,,,,,,,3.5.03.00.02,,,275
,,,,,,,,,,,,,,,3.5.03.00.03,,,1855
