Value/K,Name,Description,SKU,IsActive,IsSummary,M_Product_Category_ID[Value],C_TaxCategory_ID[Name],C_UOM_ID[Name],ProductType,R_MailText_ID[Name],Weight,Volume,IsOwnBox,M_FreightCategory_ID[Value],IsDropShip,IsStocked,M_Locator_ID,IsManufactured,IsPhantom,ShelfWidth,IsKanban,IsSelfService
RFD0086M,ZOCCOLO A MORS. X RELE' COD.9565,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7280000862,WET VALVE AV1-300 FLANGED X FLANGED,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
7280000289,WATER MOTOR ALARM MODEL WMA-1,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
J999,VOLANTINO RUBINETTO IDR UNI70,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
0642EM,"VOLANTINO RUBINETTO IDR UNI45X1""1/2 QUAD",,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
106,VOLANTINO IN FERRO 45 Q.,,,Y,N,IDR,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
WVI00002.015,VISIERA V2 EN166 ANSI Z87.1,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VISMB,VISIERA SCUDO CERTIF. EN166:2011,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
6192EM,VISIERA PER ELMETTO PICCHIO,,,Y,N,PRES,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
704910,VETRO DI RICAMBIO PULS. LARGE DESIGN,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
704975,VETRO DI RICAMBIO NEUTRO PULS. PICCOLO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
704915,VETRO DI FUNZ. PER PULS. GRANDE NEUTRO,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
VETRINO,VETRINO V10,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
CSA2472,VETRINO CSA 2472-U,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
NOT SUS758,VETRINO CON SCRITTE NEUTRE PER PULS. MAN,,,Y,N,IMP,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
PORT0011,VETRATA REI,,,Y,N,PORT,Cat. IVA 22% ,Each,I,,0,0,N,,N,Y,,N,N,0,N,N
